,Specialty,Specialty Code HBP 2.0,Package Code HBP 1.0,Package Code HBP 2.0,AB PM - JAY  Package Name,Procedure Code HBP 2.0,AB PM - JAY  Procedure Name,Procedure Price
47,Cardiology,MC,S1200002,MC004,Balloon Pulmonary / Aortic Valvotomy,MC004B,Balloon Aortic Valvotomy,"23,400"
48,Cardiology,MC,S1200003,MC005,Balloon Mitral Valvotomy,MC005A,Balloon Mitral Valvotomy,"35,700"
49,Cardiology,MC,S1200001,MC006,Balloon Atrial Septostomy,MC006A,Balloon Atrial Septostomy,"24,400"
50,Cardiology,MC,S1200014,MC007,ASD Device Closure,MC007A,ASD Device Closure,"36,900"
51,Cardiology,MC,S1200015,MC008,VSD Device Closure,MC008A,VSD Device Closure,"37,900"
52,Cardiology,MC,S1200016,MC009,PDA Device Closure,MC009A,PDA Device Closure,"25,000"
53,Cardiology,MC,S1200019,MC010,PDA stenting,MC010A,PDA stenting,"40,260"
54,Cardiology,MC,"S1200024,  S1200025",MC011,"PTCA, inclusive of diagnostic angiogram",MC011A,"PTCA, inclusive of diagnostic angiogram","40,600"
55,Cardiology,MC,New Package,MC012,Electrophysiological Study,MC012A,Electrophysiological Study,"20,000"
56,Cardiology,MC,New Package,MC012,Electrophysiological Study,MC012B,Electrophysiological Study  with Radio Frequency Ablation,"20,000"
57,Cardiology,MC,S1200027,MC013,Percutaneous Transluminal Septal Myocardial  Ablation,MC013A,Percutaneous Transluminal Septal Myocardial  Ablation,"34,000"
58,"Cardiology, CTVS",MC,S1200021,MC014,Temporary Pacemaker implantation,MC014A,Temporary Pacemaker implantation,"19,200"
59,"Cardiology, CTVS",MC,S1200023,MC015,Single Chamber Permanent Pacemaker  Implantation,MC015A,Permanent Pacemaker Implantation -  Single Chamber,"24,500"
60,"Cardiology, CTVS",MC,S1200022,MC016,Double Chamber Permanent Pacemaker  Implantation,MC016A,Permanent Pacemaker Implantation -  Double Chamber,"33,000"
61,Cardiology,MC,"S1200011, S1200010",MC017,Peripheral Angioplasty,MC017A,Peripheral Angioplasty,"34,500"
62,Cardiology,MC,S1200035,MC018,Bronchial artery Embolisation (for Haemoptysis),MC018A,Bronchial artery Embolisation  (for Haemoptysis),"32,800"
63,"Cardiology,  General Surgery",MC,S1200020,MC019,Pericardiocentesis,MC019A,Pericardiocentesis,"12,100"
64,Cardiology,MC,S1200013,MC020,Systemic Thrombolysis (for MI),MC020A,Systemic Thrombolysis (for MI),"17,900"
65,"General Medicine, Pediatric  Medical Management",MG,M100011,MG001,Acute febrile illness,MG001A,Acute febrile illness,"1,800"
66,"General Medicine, Pediatric  Medical Management",MG,M100055,MG002,Severe sepsis,MG002A,Severe sepsis,"1,800"
67,"General Medicine, Pediatric  Medical Management",MG,M100055,MG002,Severe sepsis,MG002B,Septic shock,"1,800"
68,"General Medicine, Pediatric  Medical Management",MG,M100014,MG003,Malaria,MG003A,Malaria,"1,800"
69,"General Medicine, Pediatric  Medical Management",MG,"M100051, M200074",MG003,Malaria,MG003B,Complicated malaria,"1,800"
70,"General Medicine, Pediatric  Medical Management",MG,"M100015, M200030",MG004,Dengue fever,MG004A,Dengue fever,"1,800"
71,"General Medicine, Pediatric  Medical Management",MG,M100050,MG004,Dengue fever,MG004B,Dengue hemorrhagic fever,"1,800"
72,"General Medicine, Pediatric  Medical Management",MG,"M100050, M200075",MG004,Dengue fever,MG004C,Dengue shock syndrome,"1,800"
73,"General Medicine, Pediatric  Medical Management",MG,"M100016, M200032",MG005,Chikungunya fever,MG005A,Chikungunya fever,"1,800"
74,"General Medicine, Pediatric  Medical Management",MG,"M100018, M200031",MG006,Enteric fever,MG006A,Enteric fever,"1,800"
75,"General Medicine, Pediatric  Medical Management",MG,"M100039, M200036",MG007,HIV with complications,MG007A,HIV with complications,"1,800"
76,"General Medicine, Pediatric  Medical Management",MG,M100017,MG008,Leptospirosis,MG008A,Leptospirosis,"1,800"
77,"General Medicine, Pediatric  Medical Management",MG,M100001,MG009,Acute gastroenteritis with dehydration,MG009A,Acute gastroenteritis with moderate dehydration,"1,800"
78,"General Medicine, Pediatric  Medical Management",MG,M100048,MG009,Acute gastroenteritis with dehydration,MG009B,Acute gastroenteritis with severe dehydration,"1,800"
79,"General Medicine, Pediatric  Medical Management",MG,"M100036, M200001, M200028",MG010,Diarrohea,MG010A,Chronic diarrohea,"1,800"
80,"General Medicine, Pediatric  Medical Management",MG,"M100036, M200001, M200028",MG010,Diarrohea,MG010B,Persistent diarrohea,"1,800"
81,"General Medicine, Pediatric  Medical Management",MG,"M100003, M200002",MG011,Dysentery,MG011A,Dysentery,"1,800"
82,"General Medicine, Pediatric  Medical Management",MG,"M100022, M200033",MG012,Acute viral hepatitis,MG012A,Acute viral hepatitis,"1,800"
83,"General Medicine, Pediatric  Medical Management",MG,New Package,MG013,Chronic Hepatitis,MG013A,Chronic Hepatitis,"1,800"
84,"General Medicine, Pediatric  Medical Management",MG,"M100021, M200073",MG014,Liver abscess,MG014A,Liver abscess,"1,800"
85,"General Medicine, Pediatric  Medical Management",MG,"M100038, M200034",MG015,Visceral leishmaniasis,MG015A,Visceral leishmaniasis,"1,800"
86,"General Medicine, Pediatric  Medical Management",MG,"M100019, M200003",MG016,Pneumonia,MG016A,Pneumonia,"1,800"
87,"General Medicine, Pediatric  Medical Management",MG,"M100047, M200065",MG017,Severe pneumonia,MG017A,Severe pneumonia,"1,800"
88,"General Medicine, Pediatric  Medical Management",MG,"M100033, M200043",MG018,Empyema,MG018A,Empyema,"1,800"
89,"General Medicine, Pediatric  Medical Management",MG,M100033,MG019,Lung abscess,MG019A,Lung abscess,"1,800"
90,"General Medicine, Pediatric  Medical Management",MG,M100027,MG020,Pericardial / Pleural tuberculosis,MG020A,Pericardial tuberculosis,"1,800"
91,"General Medicine, Pediatric  Medical Management",MG,M100027,MG020,Pericardial / Pleural tuberculosis,MG020B,Pleural tuberculosis,"1,800"
92,"General Medicine, Pediatric  Medical Management",MG,"M100013, M200004",MG021,Urinary Tract Infection,MG021A,Urinary Tract Infection,"1,800"
93,"General Medicine, Pediatric  Medical Management",MG,M100035,MG022,Viral encephalitis,MG022A,Viral encephalitis,"1,800"
94,"General Medicine, Pediatric  Medical Management",MG,New Package,MG023,Septic Arthritis,MG023A,Septic Arthritis,"1,800"
95,"General Medicine, Pediatric  Medical Management",MG,New Package,MG024,Skin and soft tissue infections,MG024A,Skin and soft tissue infections,"1,800"
96,"General Medicine, Pediatric  Medical Management",MG,M100002,MG025,Recurrent vomiting with dehydration,MG025A,Recurrent vomiting with dehydration,"1,800"
97,"General Medicine, Pediatric  Medical Management",MG,"M100026, M200014",MG026,Pyrexia of unknown origin,MG026A,Pyrexia of unknown origin,"1,800"
98,General Medicine,MG,New Package,MG027,Bronchiectasis,MG027A,Bronchiectasis,"1,800"
99,"General Medicine, Pediatric  Medical Management",MG,M100005,MG028,Acute bronchitis,MG028A,Acute bronchitis,"1,800"
100,General Medicine,MG,"M100012, M100046",MG029,Acute excaberation of COPD,MG029A,Acute excaberation of COPD,"1,800"
101,"General Medicine, Pediatric  Medical Management",MG,M100020,MG030,Acute excaberation of Interstitial Lung Disease,MG030A,Acute excaberation of Interstitial Lung Disease,"1,800"
102,"General Medicine, Pediatric  Medical Management",MG,M100031,MG031,Endocarditis,MG031A,Bacterial Endocarditis,"1,800"
103,"General Medicine, Pediatric  Medical Management",MG,M100031,MG031,Endocarditis,MG031B,Fungal Endocarditis,"1,800"
104,"General Medicine, Pediatric  Medical Management",MG,M100029,MG032,Vasculitis,MG032A,Vasculitis,"1,800"
105,"General Medicine, Pediatric  Medical Management",MG,M100037,MG033,Pancreatitis,MG033A,Acute pancreatitis,"1,800"
106,"General Medicine, Pediatric  Medical Management",MG,M100037,MG033,Pancreatitis,MG033B,Chronic pancreatitis,"1,800"
107,"General Medicine, Pediatric  Medical Management",MG,New Package,MG034,Ascites,MG034A,Ascites,"1,800"
108,"General Medicine, Pediatric  Medical Management",MG,"M100060, M200081, M200089",MG035,Acute transverse myelitis,MG035A,Acute transverse myelitis,"1,800"
109,"General Medicine, Pediatric  Medical Management",MG,New Package,MG036,Atrial Fibrillation,MG036A,Atrial Fibrillation,"1,800"
110,General Medicine,MG,New Package,MG037,Cardiac Tamponade,MG037A,Cardiac Tamponade,"1,800"
111,"General Medicine, Pediatric  Medical Management",MG,"M100008, M200076",MG038,Congestive heart failure,MG038A,Congestive heart failure,"1,800"
112,"General Medicine, Pediatric  Medical Management",MG,M100045,MG039,Asthma,MG039A,Acute asthmatic attack,"1,800"
113,"General Medicine, Pediatric  Medical Management",MG,M100066,MG039,Asthma,MG039B,Status asthmaticus,"1,800"
114,"General Medicine, Pediatric  Medical Management",MG,M100044,MG040,Respiratory failure,MG040A,Type 1 respiratory failure,"1,800"
115,"General Medicine, Pediatric  Medical Management",MG,M100044,MG040,Respiratory failure,MG040B,Type 2 respiratory failure,"1,800"
116,"General Medicine, Pediatric  Medical Management",MG,"M100067, M200088",MG040,Respiratory failure,MG040C,"Due to any cause (pneumonia, asthma, COPD,  ARDS, foreign body, poisoning, head injury etc.)","1,800"
117,"General Medicine, Pediatric  Medical Management",MG,"M100056, M200070",MG041,Upper GI bleeding,MG041A,Upper GI bleeding (conservative),"1,800"
118,"General Medicine, Pediatric  Medical Management",MG,M100057,MG041,Upper GI bleeding,MG041B,Upper GI bleeding (endoscopic),"1,800"
119,"General Medicine, Pediatric  Medical Management",MG,"M100058, M200071",MG042,Lower GI hemorrhage,MG042A,Lower GI hemorrhage,"1,800"
120,"General Medicine, Pediatric  Medical Management",MG,New Package,MG043,Addison’s disease,MG043A,Addison’s disease,"1,800"
121,General Medicine,MG,M100004,MG044,Renal colic,MG044A,Renal colic,"1,800"
122,"General Medicine, Pediatric  Medical Management",MG,"M100064, M200067",MG045,AKI / Renal failure,MG045A,AKI / Renal failure,"1,800"
123,"General Medicine, Pediatric  Medical Management",MG,M100030,MG046,Seizures,MG046A,Seizures,"1,800"
124,"General Medicine, Pediatric  Medical Management",MG,"M100065, M200091",MG047,Status epilepticus,MG047A,Status epilepticus,"1,800"
125,General Medicine,MG,M100054,MG048,Cerebrovascular accident,MG048A,Cerebrovascular accident,"1,800"
126,General Medicine,MG,"M100063, M200087",MG049,Cerebral sino-venous thrombosis / Stroke,MG049A,Cerebral sino-venous thrombosis,"1,800"
127,General Medicine,MG,New Package,MG049,Cerebral sino-venous thrombosis / Stroke,MG049B,Acute stroke,"1,800"
128,General Medicine,MG,New Package,MG049,Cerebral sino-venous thrombosis / Stroke,MG049C,Acute ischemic stroke,"1,800"
129,General Medicine,MG,New Package,MG049,Cerebral sino-venous thrombosis / Stroke,MG049D,Acute heamorrhagic stroke,"1,800"
130,"General Medicine, Pediatric  Medical Management",MG,"M100059, M200080",MG050,Immune mediated CNS disorders,MG050A,Immune mediated CNS disorders,"1,800"
131,"General Medicine, Pediatric  Medical Management",MG,"M100062, M200083",MG051,Hydrocephalus,MG051A,Hydrocephalus,"1,800"
132,"General Medicine, Pediatric  Medical Management",MG,New Package,MG052,Myxedema coma,MG052A,Myxedema coma,"1,800"
133,"General Medicine, Pediatric  Medical Management",MG,New Package,MG053,Thyrotoxic crisis,MG053A,Thyrotoxic crisis,"1,800"
134,General Medicine,MG,New Package,MG054,Gout,MG054A,Gout,"1,800"
135,"General Medicine, Pediatric  Medical Management",MG,M100006,MG055,Pneumothroax,MG055A,Pneumothroax,"1,800"
136,"General Medicine, Pediatric  Medical Management",MG,"M100040, M200054",MG056,Neuromuscular disorders,MG056A,Neuromuscular disorders,"1,800"
137,"General Medicine, Pediatric  Medical Management",MG,New Package,MG057,Hypoglycemia,MG057A,Hypoglycemia,"1,800"
138,General Medicine,MG,New Package,MG058,Diabetic Foot,MG058A,Diabetic Foot,"1,800"
139,"General Medicine, Pediatric  Medical Management",MG,"M100010, M200025",MG059,Diabetic ketoacidosis,MG059A,Diabetic ketoacidosis,"1,800"
140,"General Medicine, Pediatric  Medical Management",MG,New Package,MG060,Electrolyte Imbalance,MG060A,Hypercalcemia,"1,800"
141,"General Medicine, Pediatric  Medical Management",MG,New Package,MG060,Electrolyte Imbalance,MG060B,Hypocalcemia,"1,800"
142,"General Medicine, Pediatric  Medical Management",MG,New Package,MG060,Electrolyte Imbalance,MG060C,Hyponatremia,"1,800"
143,"General Medicine, Pediatric  Medical Management",MG,New Package,MG060,Electrolyte Imbalance,MG060D,Hypernatremia,"1,800"
144,"General Medicine, Pediatric  Medical Management",MG,M100053,MG061,Hyperosmolar Non-Ketotic coma,MG061A,Hyperosmolar Non-Ketotic coma,"1,800"
145,"General Medicine, Pediatric  Medical Management",MG,M100007,MG062,Accelerated hypertension,MG062A,Accelerated hypertension,"1,800"
146,"General Medicine, Pediatric  Medical Management",MG,M100049,MG063,Hypertensive emergencies,MG063A,Hypertensive emergencies,"1,800"
147,"General Medicine, Pediatric  Medical Management",MG,"M100009, M200021",MG064,Severe anemia,MG064A,Severe anemia,"1,800"
148,"General Medicine, Pediatric  Medical Management",MG,M100042,MG065,Sickle cell Anemia,MG065A,Sickle cell Anemia,"1,800"
149,"General Medicine, Pediatric  Medical Management",MG,New Package,MG066,Anaphylaxis,MG066A,Anaphylaxis,"1,800"
150,"General Medicine, Pediatric  Medical Management",MG,M100052,MG067,Heat stroke,MG067A,Heat stroke,"1,800"
151,"General Medicine, Pediatric  Medical Management",MG,M100028,MG068,Systematic lupus erythematosus,MG068A,Systematic lupus erythematosus,"1,800"
152,"General Medicine, Pediatric  Medical Management",MG,"M100061, M200082",MG069,Guillian Barre Syndrome,MG069A,Guillian Barre Syndrome,"1,800"
153,"General Medicine, Pediatric  Medical Management",MG,M100023,MG070,Snake bite,MG070A,Snake bite,"1,800"
154,"General Medicine, Pediatric  Medical Management",MG,M100024,MG071,Poisoning,MG071A,Acute organophosphorus poisoning,"1,800"
155,"General Medicine, Pediatric  Medical Management",MG,"M100025, M200068",MG071,Poisoning,MG071B,Other poisonings,"1,800"
156,General Medicine,MG,"M100070, S100214",MG072,Haemodialysis / Peritoneal Dialysis,MG072A,Haemodialysis Dialysis,"1,500"
157,General Medicine,MG,"M100070, S100252",MG072,Haemodialysis / Peritoneal Dialysis,MG072B,Peritoneal Dialysis,"1,500"
158,"General Medicine, Pediatric  Medical Management",MG,M100069,MG073,Plasmapheresis,MG073A,Plasmapheresis,"2,000"
159,"General Medicine, Pediatric  Medical Management",MG,"M100068, M200099, M200100",MG074,Blood transfusion,MG074A,Whole Blood transfusion,"2,000"
160,"General Medicine, Pediatric  Medical Management",MG,"M100068, M200099, M200100",MG074,Blood transfusion,MG074B,"Blood component including platelet transfusion  (RDP, PC, SDP)","2,000"
161,"General Medicine, Pediatric  Medical Management",MG,"M100071, M200101",MG075,"High end radiological diagnostic  (CT, MRI, Imaging including nuclear imaging)",MG075A,"High end radiological diagnostic  (CT, MRI, Imaging including nuclear imaging)","5,000"
162,"General Medicine, Pediatric  Medical Management",MG,"M100072, M200102",MG076,High end histopathology (Biopsies) and advanced  serology investigations,MG076A,High end histopathology (Biopsies) and advanced  serology investigations,"5,000"
163,Mental Disorders,MM,"M800007, M800014",MM001,Mental Retardation,MM001A,Mental Retardation,"1,500"
164,Mental Disorders,MM,"M800001, M800008",MM002,"Mental disorders - Organic, including symptomatic",MM002A,"Mental disorders - Organic, including symptomatic","1,500"
165,Mental Disorders,MM,"M800003, M800010",MM003,"Schizophrenia, schizotypal and delusional disorders",MM003A,"Schizophrenia, schizotypal and delusional disorders","1,500"
166,Mental Disorders,MM,"M800005, M800012",MM004,"Neurotic, stress-related and somatoform disorders",MM004A,"Neurotic, stress-related and somatoform disorders","1,500"
167,Mental Disorders,MM,"M800004, M800011",MM005,Mood (affective) disorders,MM005A,Mood (affective) disorders,"1,500"
168,Mental Disorders,MM,"M800006, M800013",MM006,Behavioural syndromes associated with  physiological disturbances and physical factors,MM006A,Behavioural syndromes associated with  physiological disturbances and physical factors,"1,500"
169,Mental Disorders,MM,"M800002, M800009",MM007,Mental and Behavioural disorders due to  psychoactive substance use,MM007A,Mental and Behavioural disorders due to  psychoactive substance use,"1,500"
170,Mental Disorders,MM,M800015,MM008,"Pre - Electro Convulsive Therapy (ECT) and Pre -  Transcranial Magnetic Stimulation (TMS) Package  (Cognitive Tests, Complete Haemogram, Liver  Function Test, Renal Function Test, Serum  Electrolytes, Electro Cardiogram (ECG), CT / MRI  Brain, Electroencephalogram, Thyroid Function  Test, VDRL, HIV Test, Vitamin B12 levels, Folate  levels, Lipid Profile, Homocysteine levels)",MM008A,"Pre - Electro Convulsive Therapy (ECT) and Pre -  Transcranial Magnetic Stimulation (TMS) Package  (Cognitive Tests, Complete Haemogram, Liver  Function Test, Renal Function Test, Serum  Electrolytes, Electro Cardiogram (ECG), CT / MRI  Brain, Electroencephalogram, Thyroid Function  Test, VDRL, HIV Test, Vitamin B12 levels, Folate  levels, Lipid Profile, Homocysteine levels)","10,000"
171,Mental Disorders,MM,M800016,MM009,Electro Convulsive Therapy (ECT) - per session,MM009A,Electro Convulsive Therapy (ECT) - per session,"3,000"
172,Mental Disorders,MM,M800017,MM010,Transcranial Magnetic Stimulation (TMS) - per  session,MM010A,Transcranial Magnetic Stimulation (TMS) - per  session,"1,000"
173,Neo - natal Care,MN,M300001,MN001,Basic neonatal care package: Babies that can be  managed by side of mother in postnatal ward  without requiring admission in SNCU/NICU: • Any newborn needing feeding support • Babies requiring closer monitoring or short-term  care for conditions like:  o Birth asphyxia (need for positive pressure  ventilation; no HIE) o Moderate jaundice requiring phototherapy o Large for dates (>97 percentile) Babies  o Small for gestational age (less than 3rd centile),MN001A,Basic neonatal care package: Babies that can be  managed by side of mother in postnatal ward  without requiring admission in SNCU/NICU: • Any newborn needing feeding support • Babies requiring closer monitoring or short-term  care for conditions like:  o Birth asphyxia (need for positive pressure  ventilation; no HIE) o Moderate jaundice requiring phototherapy o Large for dates (>97 percentile) Babies  o Small for gestational age (less than 3rd centile),500
