,Specialty Code HBP 2.0,Specialty,Package Code HBP 2.1,AB PM - JAY  Package Name,Procedure Code HBP 2.1,AB PM - JAY  Procedure Name,Procedure Price,Stratification,Implant,Total Package Price
26,ID,Infectious Diseases,ID003,Treatment of COVID-19  Infection,ID003A,Treatment of COVID-19  Infection,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
27,IN,Interventional Neuroradiology,IN001,Dural AVMs / AVFs,IN001A,Dural AVMs (per sitting) with  glue,"70,000",NA,NA,"70,000"
28,IN,Interventional Neuroradiology,IN001,Dural AVMs / AVFs,IN001B,Dural AVFs (per sitting) with  glue,"70,000",NA,NA,"70,000"
29,IN,Interventional Neuroradiology,IN001,Dural AVMs / AVFs,IN001C,Dural AVMs (per sitting) with  onyx,"150,000",NA,NA,"150,000"
30,IN,Interventional Neuroradiology,IN001,Dural AVMs / AVFs,IN001D,Dural AVFs (per sitting) with  onyx,"150,000",NA,NA,"150,000"
31,IN,Interventional Neuroradiology,IN002,Cerebral & Spinal AVM  embolization - Using  Histoacryl (per sitting),IN002A,Cerebral AVM embolization -  Using Histoacryl  (per sitting),"100,000",NA,NA,"100,000"
32,IN,Interventional Neuroradiology,IN002,Cerebral & Spinal AVM  embolization - Using  Histoacryl (per sitting),IN002B,Spinal AVM embolization -  Using Histoacryl  (per sitting),"100,000",NA,NA,"100,000"
33,IN,Interventional Neuroradiology,IN003,Coil embolization for  aneurysms  (includes cost of first 3 coils +  balloon and / or stent if used),IN003A,Coil embolization for  aneurysms  (includes cost of first 3 coils +  balloon and / or stent if used),"100,000",NA,"408,000",100000 - 500000
34,IN,Interventional Neuroradiology,IN004,Carotico-cavernous Fistula  (CCF) embolization,IN004A,"Carotico-cavernous Fistula  (CCF) embolization with coils.  [includes 5 coils, guide  catheter, micro-catheter, micro- guidewire, general items]","30,000",NA,"120,000","150,000"
35,IN,Interventional Neuroradiology,IN004,Carotico-cavernous Fistula  (CCF) embolization,IN004B,"Carotid-cavernous Fistula  (CCF) embolization with  balloon  (includes one balloon, guide  catheter, micro-catheter, micro- guidewire, general items)","64,000",NA,"11,000","75,000"
36,IN,Interventional Neuroradiology,IN005,Pre-operative tumour  embolization  (per session),IN005A,Pre-operative tumour  embolization  (per session),"40,000",NA,NA,"40,000"
37,IN,Interventional Neuroradiology,IN006,Intracranial balloon  angioplasty with stenting,IN006A,Intracranial balloon  angioplasty with stenting,"160,000",NA,NA,"160,000"
38,IN,Interventional Neuroradiology,IN007,Intracranial thrombolysis / clot  retrieval,IN007A,Intracranial thrombolysis / clot  retrieval,"160,000",NA,NA,"160,000"
39,IN,Interventional Neuroradiology,IN008,Balloon test occlusion,IN008A,Balloon test occlusion,"70,000",NA,NA,"70,000"
40,IN,Interventional Neuroradiology,IN009,Parent vessel occlusion -  Basic,IN009A,Parent vessel occlusion -  Basic,"30,000",NA,NA,"30,000"
41,IN,Interventional Neuroradiology,IN010,Vertebroplasty,IN010A,Vertebroplasty,"40,000",NA,NA,"40,000"
42,MC,Cardiology,MC001,Right / Left Heart  Catheterization,MC001A,Right Heart Catheterization,"5,000",NA,NA,"5,000"
43,MC,Cardiology,MC001,Right / Left Heart  Catheterization,MC001B,Left Heart Catheterization,"5,000",NA,NA,"5,000"
44,MC,"Cardiology, Interventional  Neuroradiology",MC002,Catheter directed  Thrombolysis,MC002A,For Deep vein thrombosis  (DVT),"30,800",NA,NA,"30,800"
45,MC,"Cardiology, Interventional  Neuroradiology",MC002,Catheter directed  Thrombolysis,MC002B,For Mesenteric Thrombosis,"30,800",NA,NA,"30,800"
46,MC,"Cardiology, Interventional  Neuroradiology",MC002,Catheter directed  Thrombolysis,MC002C,For Peripheral vessels,"30,800",NA,NA,"30,800"
47,MC,Cardiology,MC003,Balloon Dilatation,MC003A,Coarctation of Aorta,"38,600",NA,Cardiac Balloon - Adult -  14000 Cardiac Balloon - Pediatric -  33000,Adult - 52600 Pediatric - 71600
48,MC,Cardiology,MC003,Balloon Dilatation,MC003B,Pulmonary Artrey Stenosis,"38,600",NA,Cardiac Balloon - Adult -  14000 Cardiac Balloon - Pediatric -  33000,Adult - 52600 Pediatric - 71600
49,MC,Cardiology,MC004,Balloon Pulmonary / Aortic  Valvotomy,MC004A,Balloon Pulmonary Valvotomy,"23,400",NA,Cardiac Balloon - Adult -  14000 Cardiac Balloon - Pediatric -  33000,Adult - 37400 Pediatric - 56400
50,MC,Cardiology,MC004,Balloon Pulmonary / Aortic  Valvotomy,MC004B,Balloon Aortic Valvotomy,"23,400",NA,Cardiac Balloon - Adult -  14000 Cardiac Balloon - Pediatric -  33000,Adult - 37400 Pediatric - 56400
51,MC,Cardiology,MC005,Balloon Mitral Valvotomy,MC005A,Balloon Mitral Valvotomy,"35,700",NA,Balloon & Accessories - 55000,"90,700"
52,MC,Cardiology,MC006,Balloon Atrial Septostomy,MC006A,Balloon Atrial Septostomy,"24,400",NA,NA,"24,400"
53,MC,Cardiology,MC007,ASD Device Closure,MC007A,ASD Device Closure,"36,900",NA,ASD Device - 62000,"98,900"
54,MC,Cardiology,MC008,VSD Device Closure,MC008A,VSD Device Closure,"37,900",NA,VSD Device - 72000,"109,900"
55,MC,Cardiology,MC009,PDA Device Closure,MC009A,PDA Device Closure,"25,000",NA,PDA Device - 30000,"55,000"
56,MC,Cardiology,MC010,PDA stenting,MC010A,PDA stenting,"40,260",NA,Coronary Stent for PDA  stenting - Bare Metal - 8700 Coronary Stent for PDA  stenting - Drug Eluting - 31600,Bare Metal Stent - 48960 Drug Eluting Stent - 71860
57,MC,Cardiology,MC011,"PTCA, inclusive of diagnostic  angiogram",MC011A,"PTCA, inclusive of diagnostic  angiogram","40,600",NA,Coronary Stent for PTCA -  Bare Metal - 8700 Coronary Stent for PTCA -  Drug Eluting - 31600,Bare Metal Stent (1) - 49300 Bare Metal Stent (2) - 58000 Bare Metal Stent (3) - 66700 Drug Eluting Stent (1) - 72200 Drug Eluting Stent (2) -  103800 Drug Eluting Stent (3) -  135400
58,MC,Cardiology,MC012,Electrophysiological Study,MC012A,Electrophysiological Study,"20,000",NA,"Implant for  ""Electrophysiological Study""  includes - Steerable decapolar  catheter, Quadripolar Catheter  - 46000","66,000"
59,MC,Cardiology,MC012,Electrophysiological Study,MC012B,Electrophysiological Study  with Radio Frequency Ablation,"20,000",NA,"Implant for  ""Electrophysiological Study  with Radio Frequency  Ablation"" includes includes -  Steerable decapolar catheter,  Quadripolar Catheter, Radio  Frequency Catheter - 76000","96,000"
60,MC,Cardiology,MC013,Percutaneous Transluminal  Septal Myocardial Ablation,MC013A,Percutaneous Transluminal  Septal Myocardial Ablation,"34,000",NA,NA,"34,000"
61,MC,"Cardiology, CTVS",MC014,Temporary Pacemaker  implantation,MC014A,Temporary Pacemaker  implantation,"19,200",NA,NA,"19,200"
62,MC,"Cardiology, CTVS",MC015,Single Chamber Permanent  Pacemaker Implantation,MC015A,Permanent Pacemaker  Implantation -  Single Chamber,"24,500",NA,Single Chamber Pacemaker -  Rate Responsive - 45000,"69,500"
63,MC,"Cardiology, CTVS",MC016,Double Chamber Permanent  Pacemaker Implantation,MC016A,Permanent Pacemaker  Implantation -  Double Chamber,"33,000",NA,Double Chamber Pacemaker -  Rate Responsive - 75000,"108,000"
64,MC,Cardiology,MC017,Peripheral Angioplasty,MC017A,Peripheral Angioplasty,"34,500",NA,Peripheral Stent - Bare Metal -  21000,"55,500"
65,MC,Cardiology,MC018,Bronchial artery Embolisation (for Haemoptysis),MC018A,Bronchial artery Embolisation  (for Haemoptysis),"32,800",NA,NA,"32,800"
66,MC,"Cardiology,  General Surgery",MC019,Pericardiocentesis,MC019A,Pericardiocentesis,"12,100",NA,NA,"12,100"
67,MC,Cardiology,MC020,Systemic Thrombolysis (for  MI),MC020A,Systemic Thrombolysis (for  MI),"17,900",NA,NA,"17,900"
68,MC,Cardiology,MC021,Embolization,MC021A,Arteriovenous Malformation  (AVM) in the Limbs,"40,600",TBF,TBF,TBF
69,MG,"General Medicine, Pediatric  Medical Management",MG001,Acute febrile illness,MG001A,Acute febrile illness,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
70,MG,"General Medicine, Pediatric  Medical Management",MG002,Severe sepsis,MG002A,Severe sepsis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
71,MG,"General Medicine, Pediatric  Medical Management",MG002,Severe sepsis,MG002B,Septic shock,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
72,MG,"General Medicine, Pediatric  Medical Management",MG003,Malaria,MG003A,Malaria,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
73,MG,"General Medicine, Pediatric  Medical Management",MG003,Malaria,MG003B,Complicated malaria,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
74,MG,"General Medicine, Pediatric  Medical Management",MG004,Dengue fever,MG004A,Dengue fever,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
75,MG,"General Medicine, Pediatric  Medical Management",MG004,Dengue fever,MG004B,Dengue hemorrhagic fever,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
76,MG,"General Medicine, Pediatric  Medical Management",MG004,Dengue fever,MG004C,Dengue shock syndrome,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
77,MG,"General Medicine, Pediatric  Medical Management",MG005,Chikungunya fever,MG005A,Chikungunya fever,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
78,MG,"General Medicine, Pediatric  Medical Management",MG006,Enteric fever,MG006A,Enteric fever,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
79,MG,"General Medicine, Pediatric  Medical Management",MG007,HIV with complications,MG007A,HIV with complications,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
80,MG,"General Medicine, Pediatric  Medical Management",MG008,Leptospirosis,MG008A,Leptospirosis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
81,MG,"General Medicine, Pediatric  Medical Management",MG009,Acute gastroenteritis with  dehydration,MG009A,Acute gastroenteritis with  moderate dehydration,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
82,MG,"General Medicine, Pediatric  Medical Management",MG009,Acute gastroenteritis with  dehydration,MG009B,Acute gastroenteritis with  severe dehydration,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
83,MG,"General Medicine, Pediatric  Medical Management",MG010,Diarrohea,MG010A,Chronic diarrohea,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
84,MG,"General Medicine, Pediatric  Medical Management",MG010,Diarrohea,MG010B,Persistent diarrohea,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
85,MG,"General Medicine, Pediatric  Medical Management",MG011,Dysentery,MG011A,Dysentery,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
86,MG,"General Medicine, Pediatric  Medical Management",MG012,Acute viral hepatitis,MG012A,Acute viral hepatitis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
87,MG,"General Medicine, Pediatric  Medical Management",MG013,Chronic Hepatitis,MG013A,Chronic Hepatitis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
88,MG,"General Medicine, Pediatric  Medical Management",MG014,Liver abscess,MG014A,Liver abscess,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
89,MG,"General Medicine, Pediatric  Medical Management",MG015,Visceral leishmaniasis,MG015A,Visceral leishmaniasis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
90,MG,"General Medicine, Pediatric  Medical Management",MG016,Pneumonia,MG016A,Pneumonia,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
91,MG,"General Medicine, Pediatric  Medical Management",MG017,Severe pneumonia,MG017A,Severe pneumonia,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
92,MG,"General Medicine, Pediatric  Medical Management",MG018,Empyema,MG018A,Empyema,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
93,MG,"General Medicine, Pediatric  Medical Management",MG019,Lung abscess,MG019A,Lung abscess,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
94,MG,"General Medicine, Pediatric  Medical Management",MG020,Pericardial / Pleural  tuberculosis,MG020A,Pericardial tuberculosis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
95,MG,"General Medicine, Pediatric  Medical Management",MG020,Pericardial / Pleural  tuberculosis,MG020B,Pleural tuberculosis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
96,MG,"General Medicine, Pediatric  Medical Management",MG021,Urinary Tract Infection,MG021A,Urinary Tract Infection,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
97,MG,"General Medicine, Pediatric  Medical Management",MG022,Viral encephalitis,MG022A,Viral encephalitis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
98,MG,"General Medicine, Pediatric  Medical Management",MG023,Septic Arthritis,MG023A,Septic Arthritis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
99,MG,"General Medicine, Pediatric  Medical Management",MG024,Skin and soft tissue infections,MG024A,Skin and soft tissue infections,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
100,MG,"General Medicine, Pediatric  Medical Management",MG025,Recurrent vomiting with  dehydration,MG025A,Recurrent vomiting with  dehydration,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
101,MG,"General Medicine, Pediatric  Medical Management",MG026,Pyrexia of unknown origin,MG026A,Pyrexia of unknown origin,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
102,MG,General Medicine,MG027,Bronchiectasis,MG027A,Bronchiectasis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
103,MG,"General Medicine, Pediatric  Medical Management",MG028,Acute bronchitis,MG028A,Acute bronchitis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
104,MG,General Medicine,MG029,Acute excaberation of COPD,MG029A,Acute excaberation of COPD,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
105,MG,"General Medicine, Pediatric  Medical Management",MG030,Acute excaberation of  Interstitial Lung Disease,MG030A,Acute excaberation of  Interstitial Lung Disease,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
106,MG,"General Medicine, Pediatric  Medical Management",MG031,Endocarditis,MG031A,Bacterial Endocarditis,"1,800",Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500,NA,Routine Ward - 1800 HDU - 2700 ICU (without Ventilator) - 3600 ICU (with Ventilator) - 4500
