,Sentences,Filename
44,Your support ID is: 5170449210013350785,PMJAY-Revised-Guidelines-for-Release-of-GIA-Implementation-May-2020.pdf
45,Your support ID is: 5170449209983563948,Operational%20Manual%20for%20AB%20PM-JAY%2C%20April%202022.pdf
46,Your support ID is: 5170449210013352345,Field%20Investigation%20and%20Medical%20Audit%20Manual_April-2020.pdf
47,Your support ID is: 5170449210052077400,AB_PM-JAY_exclusion_policy.pdf
48,Your support ID is: 5170449210013811165,NHA%20OM%20on%20Covid.pdf
49,Your support ID is: 5170449209983879268,Guideline%20for%20How%20to%20Achieve%20Bronze%20Quality%20Certificate.pdf
50,Your support ID is: 5170449210052481700,Beneficiary%20Empowerment%20Guidebook.pdf
51,Your support ID is: 5170449210079275723,Streamlining_Systems_%26_Processes_at_Hospitals.pdf
52,Your support ID is: 5170449210052461720,PM-JAY%20Process%20Flow%20at%20Empanelled%20Hospitals.pdf
53,Your support ID is: 5170449209983876088,NHCP%20Guidelines.pdf
54,Your support ID is: 5170449210078346443,Capacity%20Building%20Document%2C%2022.01.2019_Approved.pdf
55,Your support ID is: 5170449210078875183,Constitution%20of%20Review%20Committee%20under%20AB-PMJAY.pdf
56,Your support ID is: 5170449210013350105,Escrow%20account%20guidelines.pdf
57,Your support ID is: 5170449210051586860,Revised%20Proposed%20Release%20of%20Grant%20in%20Aid%20-%20Trust%20Mode%20.pdf
58,Your support ID is: 5170449210051548700 [Go Back],Final%20Release%20of%20Premium%20and%20Escrow%20%20%20Account%20Guidelines%20under%20AB%20-%20NHPM%20-%2018-07-2018.pdf
59,Your support ID is: 5170449210067988727,Background_Note_Urban_ADCD.pdf
60,Your support ID is: 5170449210073869569,GuidelinesonProcessesforHospitalTransaction_0.pdf
61,Your support ID is: 5170449210014243345,AB-NHPM-Urban-Guidelines-ADCD_Rev1.pdf
62,Your support ID is: 5170449210074764229,Presentation_Urban_ADCD_Rev1.pdf
63,Your support ID is: 5170449210084940064,YoungProfessionalsGuidelines.pdf
64,Your support ID is: 5170449210074847589,Checklist-for-Additional-Data-Collection-Drive-Urban-1-1.pdf
65,Your support ID is: 5170449210110145221 [Go Back],NHA%20Volunteer%20Guidelines.pdf
66,AYUSHMAN BHARAT PRADHAN MANTRI JAN AROGYA YOJANA (AB PM-JAY) Grievance Redressal Guidelines December 2021 2 GRIEVANCE REDRESSAL SYSTEM Grievance Redressal Guidelines AYUSHMAN BHARAT PRADHAN MANTRI JAN AROGYA YOJANA (AB PM-JAY) December 2021 GRIEVANCE REDRESSAL SYSTEM 3 CONTENTS EXECUTIVE SUMMARY .....................................................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
67,4 1. INTRODUCTION............................................................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
68,5 2. OBJECTIVES OF THE GRIEVANCE REDRESSAL SYSTEM ..............................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
69,5 3.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
70,5 4. GRIEVANCE REDRESSAL STRUCTURE AND AUTHORITIES ..........................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
71,6 4.1 DISTRICT GRIEVANCE REDRESSAL COMMITTEE .......................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
72,6 4.2 STATE GRIEVANCE REDRESSAL COMMITTEE .............................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
73,8 4.3 STATE APPELLATE AUTHORITY ........................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
74,9 4.4 NATIONAL GRIEVANCE REDERSSAL COMMITTEE ..................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
75,10 4.5 GREVANCE OFFICER …………………………………………...………………11 5.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
76,12 6.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
77,13 7.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
78,14 7.1 PROCESS FOR REDRESSAL DIRECTLY,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
79,14 7.2 PROCESS OF REDRESSAL THROUGH THE RELEVANT GRIEVANCE COMMITTEE ............................................................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
80,15 8.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
81,16 9.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
82,16 10.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
83,17 11.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
84,17 12.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
85,17 ANNEXURE 1 ........................................................................................................................ 19 GRIEVANCE REDRESSAL MATRIX ..............................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
86,19 ANNEXURE 1 ........................................................................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
87,27 DEFINITIONS .......................................................................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
88,27 ANNEXURE 2 ........................................................................................................................ 29 ABBREVIATIONS AND ACRONYMS ..............................................................................,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
89,"29 GRIEVANCE REDRESSAL SYSTEM 4 Executive Summary The National Health Authority has developed the Central Grievance Redressal Management System (CGRMS) to register, monitor and dispose of grievances under AB PM-JAY transparently and effectively.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
90,Monthly meeting of respective committees at District and State level shall take place to ensure timely redressal of grievances.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
91,https://grievance.pmjay.gov.in/ GRIEVANCE REDRESSAL SYSTEM 5 1.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
92,INTRODUCTION Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana is a flagship program of the Government which provides a cover up to Rs.5 lakh per family per year for secondary and tertiary care hospitalization to over 10.74 crore entitled beneficiary families listed in SECC 2011 data set.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
93,2. OBJECTIVES OF THE GRIEVANCE REDRESSAL SYSTEM To ensure that grievances of all stakeholders are redressed within the time frame mentioned in the Grievance Guidelines up to the satisfaction of the aggrieved party based on the principles of natural justice while ensuring that cashless access to timely and quality care to remains uncompromised 3.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
94,"GRIEVANCE TYPES AND WHO CAN FILE GRIEVANCES 3.1 Grievances can be filed by any stakeholder, for this purpose, a stakeholder includes: a. AB PM-JAY Beneficiary b. Healthcare Provider c. Insurer or its employees d. Implementation Support Agency (ISA) or its employees e. State Health Agency (SHA) or its employees or nominated functionaries for implementation of the Scheme; and f.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
95,"Any other person GRIEVANCE REDRESSAL SYSTEM 6 3.2 Any person who may have observations, comments or feedback on any aspect of the Scheme, may also file a complaint along with specific details.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
96,Vague comments/feedback which are not actionable shall not be entertained/accepted 3.3 Illustrative and indicative list of grievances is given in the Grievance Redressal Matrix (refer to Annexure 1 in this document) 4. GRIEVANCE REDRESSAL STRUCTURE AND AUTHORITIES AB PM-JAY has a multi-tier grievance redressal structure to ensure timely redressal of grievances.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
97,4.1 District Grievance Redressal Committee A District Grievance Redressal Committee (DGRC) should be constituted by the SHA in each district 4.1.1 Constitution of the DGRC: a. Head of the District or District Magistrate or District Collector or Deputy Commissioner shall be the Chairperson of the DGRC b. Chief Executive Officer or District Development Officer or ADC/ADM (Development) in-charge of Zilla Panchayat c. The Chief Medical Officer of the district shall be the Convener d. District Coordinator of the Insurer (in case of insurance mode),OM-Grievance-Redressal-Guideline-Dec-2021.pdf
98,"h. Monitor the grievance database to ensure that all grievances are resolved within 30 days or earlier stated as per the provisions of these guidelines or any amendments to the CGRMS Guidelines issued by the NHA and / or the SHA i. DGRC shall be competent to seek report or assistance of any authority in the district to take suitable action as deemed appropriate j. Issue directions/take action like recommending de-empanelment of the hospitals, recommending suspension of license of a doctor/paramedic, etc.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
99,"However, such actions should be placed in front of the Committee during the next meeting for ratification l. Ensure compliance to the Grievance Redressal Guideline of AB PM-JAY GRIEVANCE REDRESSAL SYSTEM 8 4.2 State Grievance Redressal Committee",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
100,"The specific functions shall include: a. Act as an Appellate Authority for appealing against the orders of the DGRC b. Track and redress all grievances referred to it, following the principles of natural justice c. Call for additional information as required either directly from an aggrieved party or from the concerned agencies / individuals d. Conduct grievance redressal proceedings as required e. Nominate District Grievance Nodal Officer (DGNO) at each District f. Oversee grievance redressal functions of the DGRC including but not limited to monitoring the turnaround time for grievance redressal g. Perform all tasks necessary to decide on all such appeals within 30 days of GRIEVANCE REDRESSAL SYSTEM 9 receiving such appeal h. Adjudicate and issue final orders on grievances i. Ensure compliance to the Grievance Redressal Guideline of AB PM-JAY 4.2.3 For any appeal escalated to the SGRC, the SGRC, at its sole discretion may assign the task of investigation of the grievance to the independent agency or any official.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
101,4.3 State Appellate Authority Principal Secretary (Health) shall function as the State Appellate Authority (SAA) of the respective state.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
102,"The specific functions shall include: a) Act as an Appellate Authority for appeal against the orders of the SGRC b) Redressal of all grievances referred to it, following the principles of natural justice c) Call for additional information as required either directly from an aggrieved party or from the concerned agencies / individuals d) Oversee grievance redressal functions of the SGRC including but not limited to monitoring the turnaround time for grievance redressal e) Perform all tasks necessary to decide on all appeals received within 30 days f) Adjudicate and issue final orders on grievances g)",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
103,The decision of SAA shall be final and binding wherein SHA and Insurance Company/ISA/TPA are the aggrieved parties GRIEVANCE REDRESSAL SYSTEM 10 4.4 National Grievance Redressal Committee,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
104,"Review may include but not be limited to analysis of monthly reports from the SHA and field visits for monitoring, evaluation and make suggestions for improvement in the system b.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
105,"Provide need-based mentoring and capacity building support to the SGRCs c. Issue specific recommendations to the states/SHAs for corrective actions and process improvement based on state-wise review of grievance redressal data d. Issue amendments to the national grievance redressal guidelines as and when required e. NGRC shall ensure adequate and effective settlement of disputes only between Insurance Company / ISA / TPA and SHA, with respect to any deviation from ‘Terms & Conditions’ of the contract and NHA guidelines between the two parties or any act of omission or commission with respect to the contractual provision Grievances wherein EHCP or beneficiary are the one of the parties shall not be entertained by NGRC and decision of SAA shall be final and binding.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
106,GRIEVANCE REDRESSAL SYSTEM 11,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
107,4.5 Grievance Officer 4.5.1 District Grievance Nodal Officer (DGNO) DGNO is a person who is nominated by SGRC to resolve the grievances at district level under PM-JAY.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
108,4.5.2 State Grievance Nodal Officer (SGNO) SGNO is a person who is nominated by SHA to address the grievances at state level under PM-JAY.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
109,Forwarding the grievances which are received at state level to concerned DGNO for GRIEVANCE REDRESSAL SYSTEM 12 further actions e.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
110,Forwarding grievances to concerned SGNO in case the grievance doesn’t fall under his/her jurisdiction g. Monitoring of the grievances and ensuring grievances are resolved within the time frame at State & District Level h. Submitting reports and records 4.5.3 National Grievance Nodal Officer (NGNO),OM-Grievance-Redressal-Guideline-Dec-2021.pdf
111,"Referring grievances to convener of NGRC c. Monitoring of the grievances and ensuring grievances are resolved as per the time frame, d. Submitting reports and records 5.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
112,Meeting Schedule of Committees The DGRC & SGRC meeting should be conducted every month on a specific day on regular basis.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
113,SAA meetings shall be convened within one week of receiving the grievances before SAA.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
114,5.1 For inter-state / Union Territory (Portability) cases: a. All grievances of beneficiaries against the hospital shall be referred to the DGNO of the State/UT where beneficiary is availing benefits of PM-JAY b.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
115,Inter-state beneficiary cases should be solved jointly by the concerned DGRC and SGRC of two respective states/ UTs.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
116,"The SGRCs of both the states shall coordinate amongst them, if required, to redress the grievance https://www.primehealers.com/ GRIEVANCE REDRESSAL SYSTEM 13 6.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
117,LODGING AND REGISTRATION OF GRIEVANCES 6.1,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
118,"Through letter, telephone, e-mail, and fax to the official addresses of the SHA or the NHA • Directly with the DGNO of the district where such stakeholder is located or where such grievance has arisen 6.2 Details of all complaints shall be entered in CGRMS portal by the concerned officer.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
119,"The CGRMS will automatically generate a Unique Grievance Number (UGN), categorize the nature of the grievance and an auto SMS sent to the stakeholder as per the Grievance Redressal Matrix (Annexure 1) 6.3 Special powers of the authorities: The SHA, SGRC and/ or the SAA shall have the authority to initiate Suo moto proceedings and file a grievance on behalf of itself and / or PM-JAY Beneficiaries under the Scheme.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
120,"https://cgrms.pmjay.gov.in/ GRIEVANCE REDRESSAL SYSTEM 14 7 GRIEVANCE REDRESSAL MECHANISMS Upon receipt of a grievance, the DGNO/SGNO shall try to resolve the same directly through his/her own efforts and coordination with concerned parties.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
121,Each grievance irrespective of the mode of receipt shall be first registered on the CGRMS portal with a unique grievance number for tracking till closure.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
122,"7.1 Process for Redressal directly by DGNO/SGNO While redressing the grievances, a.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
123,The stakeholder against whom a grievance has been lodged must send its comments/ response to the aggrieved party with copy to the DGNO/SGNO within 7 days.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
124,"If the grievance is not addressed within such 7 days period, the DGNO/SGNO shall send a reminder for redressal within a time period specified by the DGNO/SGNO c.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
125,"If the grievance is not resolved or comments are not received within 15 days of the grievance, then the matter may be referred to relevant Grievance Redressal Committee d.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
126,"If the DGNO/SGNO is not satisfied with the comments/ response received or if no comment/ response is received from the stakeholder despite a reminder, then the DGNO/SGNO shall refer such grievance to the Convener of the relevant Grievance Redressal Committee GRIEVANCE REDRESSAL SYSTEM 15 7.2 Process of Redressal through the Relevant Grievance Committee All the cases which are appealed against the orders of grievance officer must be placed before the concerned grievance redressal committee.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
127,Each grievance shall be addressed by the relevant Grievance Redressal Committee within a period of 30 days of the receipt of the grievance.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
128,The relevant Grievance Redressal Committee shall arrive at a logical decision within 30 days of receipt of the grievance.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
129,"If any party to a grievance is not satisfied with the decision of the relevant Grievance Redressal Committee, it may appeal against the decision within 30 days to the higher Grievance Redressal Committee or other authority having powers of appeal e.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
130,"If an appeal is not filed within 30-day period, the aggrieved party shall lose its right to appeal, and the decision of the original Grievance Redressal Committee shall be final and binding f.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
131,A Grievance Redressal Committee or any other authority having powers of appeal shall dispose of an appeal within 30 days of receipt of the appeal.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
132,"The decision of the Grievance Redressal Committee or other authority having powers of appeal shall be final and binding GRIEVANCE REDRESSAL SYSTEM 16 8 COMPLIANCE WITH ORDERS OF GRIEVANCE REDRESSAL COMMITTEES 8.1 Parties against whom an order has been issued by any Grievance Redressal Committee, shall ensure that all orders are fully complied with and executed within not more than 30 calendar days of the issuance of the order unless such order has been stayed on appeal 8.2 If the party against whom such orders have been issued, fails to comply with the order within 30-day period or a time period set forth in the Grievance Redressal Committee Order, the defaulting party shall be liable to pay penalty as described under the contract between the parties 8.3",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
133,The defaulting party shall be liable to pay the levied penalty to the SHA within 15 days of receiving a written notice from the SHA.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
134,"All such payments have to be made by the defaulting party in the manner as specified by the SHA in the notice issued 8.4 On failure to pay penalty, the defaulting party shall be liable to pay a penal interest at the rate of one percent of the total outstanding penalty amount for every 15 days for which such penalty amount remains unpaid 8.5 For delays in compliance to the order beyond three months of the date of its issue, the SHA/ NHA shall have the right to seek recourse to available legal remedies all costs of which shall be borne by the defaulting party 9 Mode of Communication The decision made by the grievance officer or the grievance committee must be communicated to all the parties as soon as possible in writing and in addition, if possible, by e-mail.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
135,GRIEVANCE REDRESSAL SYSTEM 17 10 AUTO-ESCALATION OF GRIEVANCES,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
136,"E.g., if DGNO has not taken any action within 15 days, the case will be escalated to the SGNO.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
137,"11 REPORTING 11.1 CGRMS portal generates various reports like total grievance count, age wise pendency, closure report, SOS Grievances 11.2 Such reports may be utilized by grievance redressal officials in planning and decision making 12 MONITORING 12.1 The SHA shall be responsible for monitoring the functioning of the CGRMS within the state 12.2 Some of the key indicators for tracking the efficiency of GRS system shall be: a. Resolution turn-around time ratio Indicator Resolution turn-around time ratio Description Grievances that are resolved within the prescribed time frame Numerator (N) Number of grievances resolved within the prescribed time frame Denominator (D) Total number of grievances registered Calculation (N /D)",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
138,*100 Frequency of measurement Monthly Acceptable Threshold (benchmark) 98% or more Table 1 Turn Around Ratio GRIEVANCE REDRESSAL SYSTEM 18 b. Escalation ratio Indicator Escalation ratio Description Grievances that needed escalation Numerator (N) Number of GRC orders that were appealed against Denominator (D) Total number of GRC orders issued Calculation (N /D)*100 Frequency of measurement Monthly Acceptable Threshold (benchmark) 10 % or less Table 2 Escalation Ratio 12.3 These indicators are illustrative and may evolve and be amended by the NHA and / or the SHA from time to time.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
139,12.4,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
140,"This may include site visits, and internal and third-party process audits.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
141,12.5 Monitoring of time series grievance data may also provide insights into the overall performance of the AB PM-JAY.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
142,Percentage of grievances from empaneled providers related to delays in receiving claims reimbursements g. Number of grievances related to portability benefits h. Percentage of provider grievances related to portability claims 12.6 Analyses of these grievance related indicators over time and across states (may be even across districts) is likely to provide useful insights for course corrections and strengthening the implementation mechanisms under the AB PM-JAY. GRIEVANCE REDRESSAL SYSTEM 19 Annexure 1 GRIEVANCE REDRESSAL MATRIX Sl.,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
143,1 Beneficiary Empaneled Healthcare providers SOS (Emergency) Grievances (Grievances Registered during the period of hospitalization) •,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
144,"Misconduct by Hospital Staff SGNO 6 working hours (if the case is not resolved within TAT, CEO of SHA will be alerted through system generated Email) • SGRC decision shall be final & binding https://www.primehealers.com/ https://www.primehealers.com/ GRIEVANCE REDRESSAL SYSTEM 20 • Charge money for printing Ayushman card.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
145,"Denied treatment under AB PM-JAY • Money sought for treatment, despite sum insured under AB PM- JAY cover being available • Demanding more than Package Rate/ Pre-Authorized Amount • AB PM-JAY Ayushman Card retained by Empaneled Health Care Provider • Free medicines & Consultation not provided during follow-up • Ayushman Card not provided despite eligibility • Poor Quality of Treatment • Poor facilities DGNO 15 days (If no response received by stakeholder within 7 days of show cause notice, DGNO should send reminder) • DGRC (Within 30 days of the DGNO decision) •",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
146,"If either party is not satisfied with DGRC decision, then they can appeal to SGRC within 30 days • SGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
147,• SGRC decision shall be final & binding GRIEVANCE REDRESSAL SYSTEM 21 • Non-availability of Arogya Mitra • Non-Cooperation of Arogya Mitra • Misconduct by Hospital Staff 3 Beneficiary Insurance company / TPA • Demanding money for approval of pre-authorization • Misconduct by IC/ISA/TPA representative DGNO / SGNO 15 days of receipt of grievance for DGNO/SGNO 30 days of receipt of grievance for DGRC •,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
148,"If grievance is not resolved by DGNO/SGNO within 15 days, case shall be referred to DGRC/SGRC.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
149,"If either party is not satisfied with DGNO’s/SGNO’s decision, then they can appeal to DGRC/SGRC within 30 days of the DGNO/SGNO order • DGRC/SGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
150,"If either party is not satisfied with DGRC decision, then they can appeal to SGRC within 30 days • SGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
151,"Demanding extra money (above the approved cost of Rs. 30) for issuing Ayushman card • Card issued to another family • Card not provided to beneficiary • Poor Quality of Service DGNO 15 days of receipt of grievance for DGNO 30 days of receipt of • If either party is not satisfied with DGNO’s decision, then they can appeal to DGRC within 30 days of the DGNO • DGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
152,GRIEVANCE REDRESSAL SYSTEM 22 grievance for DGRC •,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
153,"If either party is not satisfied with DGRC decision, then they can appeal to SGRC within 30 days • SGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
154,"• SGRC decision shall be final and binding 5 Beneficiary District authorities • Grievance not addressed by the concerned officer SGNO 15 days of receipt of grievance for SGNO 30 days of receipt of grievance for SGRC • If either party is not satisfied with DGRC order, they shall approach the SGRC • Decision of SGRC on such cases shall be final and binding.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
155,GRIEVANCE REDRESSAL SYSTEM 23 6 Health Care Provider Beneficiary • Misconduct or harassment by the beneficiary • Any other DGNO 15 days of receipt of grievance for DGNO 30 days of receipt of grievance for DGRC •,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
156,"If grievance is not resolved by DGNO within 15 days, case shall be referred to DGRC.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
157,"If either party is not satisfied with DGNO’s decision, then they can appeal to DGRC within 30 days of the DGNO order • DGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
158,"If either party is not satisfied with DGRC decision, then they can appeal to SGRC within 30 days • SGRC shall have 30 days to resolve • the grievance GRIEVANCE REDRESSAL SYSTEM 24 • Decision of the SGRC shall be final and binding.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
159,SAA 15 days of receipt of grievance for DGNO/SGNO /SAA 30 days of receipt of grievance for DGRC 30 days of receipt of grievance for SAA •,OM-Grievance-Redressal-Guideline-Dec-2021.pdf
160,"If either party is not satisfied with DGNO’s decision, then they can appeal to DGRC within 30 days of the DGNO order • DGRC shall have 30 days to resolve the grievance.",OM-Grievance-Redressal-Guideline-Dec-2021.pdf
